"project_name","start_end_SHA","noiseType","changeSet-triple"
"E:\project-DataSets20240917\scribejava","[57a0d6e6766da6fe4be4e80cb282b5fc7eae907b, 5dc1a3fc1c9a45d95746fa7b1104d3f7e732b82b, 7d6a38c0e346d2356d5191333fd27b115216b0a4, d627a8d37a68d46a3a8f13ae5570ec5d411194b8]","[[src/main/java/org/scribe/utils/MapUtils.java|RENAME_VARIABLE], NO_NOISE, [src/main/java/org/scribe/extractors/RequestTokenExtractor.java|RENAME_PARAMETER], [src/main/java/org/scribe/extractors/RequestTokenExtractor.java|RENAME_PARAMETER]]","[extract, sort]"
"E:\project-DataSets20240917\spring-hateoas","[37cb3f0be09bc87e0275654b444ffd021880c53b, 603158614f955c7268d50a5c6d7de164ccf207c6, 6b0330d0cc3a220122fb51993d335c784acd4758, 8438b4cfbefcd40389d522ac99a535bf45fbae1b]","[[symja-parser/src/main/java/org/matheclipse/commons/parser/client/eval/IDoubleValue.java|RENAME_PARAMETER], [symja-parser/src/main/java/org/matheclipse/commons/parser/client/eval/IDoubleValue.java|RENAME_PARAMETER], [symja-parser/src/main/java/org/matheclipse/commons/parser/client/ast/PatternNode.java|RENAME_ATTRIBUTE, symja-parser/src/main/java/org/matheclipse/commons/parser/client/ast/PatternNode.java|RENAME_PARAMETER, symja-parser/src/main/java/org/matheclipse/commons/parser/client/ast/PatternNode.java|RENAME_VARIABLE, symja-parser/src/main/java/org/matheclipse/commons/parser/client/eval/IDoubleValue.java|RENAME_PARAMETER, symja-parser/src/main/java/org/matheclipse/commons/parser/client/eval/dfp/DfpEvaluator.java|INVERT_CONDITION, symja-parser/src/main/java/org/matheclipse/commons/parser/client/operator/Operator.java|RENAME_ATTRIBUTE, symja-parser/src/main/java/org/matheclipse/commons/parser/client/operator/Operator.java|RENAME_PARAMETER, symja-parser/src/main/java/org/matheclipse/commons/parser/client/operator/PreMinusOperator.java|RENAME_PARAMETER], [src/main/java/org/springframework/hateoas/server/reactive/WebFluxLinkBuilder.java|RENAME_PARAMETER, src/main/java/org/springframework/hateoas/server/reactive/WebFluxLinkBuilder.java|RENAME_VARIABLE], [src/main/java/org/springframework/hateoas/server/reactive/WebFluxLinkBuilder.java|RENAME_PARAMETER], [src/main/java/org/springframework/hateoas/server/reactive/WebFluxLinkBuilder.java|RENAME_PARAMETER, src/main/java/org/springframework/hateoas/server/reactive/WebFluxLinkBuilder.java|RENAME_VARIABLE], [src/main/java/org/springframework/hateoas/server/reactive/WebFluxLinkBuilder.java|RENAME_PARAMETER]]","[createNewInstance, linkToInternal, of, toBuilder, withRel]"
"E:\project-DataSets20240917\spring-hateoas","[97199d149d180486f7efb170483bef037887585e, 9d268a2045ecff7e7095b130e01ce0fdd31123b2, acd500753c4785c3452349bb2ba186ad2e573e20, b0c28b98db6508455263869c0a22d08fabc7a0f4]","[[src/main/java/org/springframework/hateoas/server/reactive/WebFluxLinkBuilder.java|RENAME_PARAMETER], NO_NOISE, NO_NOISE, NO_NOISE]","[WebFluxBuilder, linkTo, of]"
"E:\project-DataSets20240917\spring-data-neo4j","[3f79248306d8dc28a3663403d2e88d25858aab25, 7ed1ee53c5a1c651d40071182c8dc56419b73d6a, a26bd3df073c339ad30daf5b778c1739fd8e9562, fb55e92f9e5a973af0b59ff99374e86c5b4f15f1]","[NO_NOISE, [spring-data-neo4j-tx/src/main/java/org/springframework/data/neo4j/transaction/MultiTransactionStatus.java|RENAME_ATTRIBUTE, spring-data-neo4j-tx/src/main/java/org/springframework/data/neo4j/transaction/MultiTransactionStatus.java|RENAME_PARAMETER], [spring-data-neo4j-tx/src/main/java/org/springframework/data/neo4j/transaction/ChainedTransactionManager.java|INVERT_CONDITION, spring-data-neo4j-tx/src/main/java/org/springframework/data/neo4j/transaction/ChainedTransactionManager.java|RENAME_ATTRIBUTE, spring-data-neo4j-tx/src/main/java/org/springframework/data/neo4j/transaction/ChainedTransactionManager.java|RENAME_PARAMETER, spring-data-neo4j-tx/src/main/java/org/springframework/data/neo4j/transaction/ChainedTransactionManager.java|RENAME_VARIABLE, spring-data-neo4j-tx/src/main/java/org/springframework/data/neo4j/transaction/MultiTransactionStatus.java|RENAME_ATTRIBUTE, spring-data-neo4j-tx/src/main/java/org/springframework/data/neo4j/transaction/MultiTransactionStatus.java|RENAME_PARAMETER, spring-data-neo4j-tx/src/main/java/org/springframework/data/neo4j/transaction/MultiTransactionStatus.java|RENAME_VARIABLE, spring-data-neo4j-tx/src/main/java/org/springframework/data/neo4j/transaction/SpringProvider.java|RENAME_PARAMETER, spring-data-neo4j-tx/src/main/java/org/springframework/data/neo4j/transaction/SpringServiceImpl.java|RENAME_PARAMETER, spring-data-neo4j-tx/src/main/java/org/springframework/data/neo4j/transaction/SpringServiceImpl.java|RENAME_VARIABLE], [spring-data-neo4j-rest/src/main/java/org/springframework/data/neo4j/rest/SpringRestResult.java|RENAME_PARAMETER, spring-data-neo4j-rest/src/main/java/org/springframework/data/neo4j/rest/SpringRestResult.java|RENAME_VARIABLE], [spring-data-neo4j-rest/src/main/java/org/springframework/data/neo4j/rest/SpringRestResult.java|RENAME_PARAMETER]]","[ChainedTransactionManager, MultiTransactionStatus, as, commit, convert, createSavepoint, getEventIdentifier, getMainTransactionStatus, getStatus, getTransaction, isCompleted, registerTransactionManager, release, resume, rollback, rollbackToSavepoint, to]"
"E:\project-DataSets20240917\spring-data-neo4j","[31d93f24c6bddc3bbe1c3e288262627cc2e4ed44, 651d2117418e0d15605438724f6e569e6f3ad37c, 7ac3c376b10498f8bafb5e7208ce1424d2916619, 879ad326095ccfafbd3eee39d8eef1cf1b213195]","[[spring-data-neo4j-rest/src/main/java/org/springframework/data/neo4j/rest/SpringRestResult.java|RENAME_PARAMETER, spring-data-neo4j-rest/src/main/java/org/springframework/data/neo4j/rest/SpringRestResult.java|RENAME_VARIABLE], [spring-data-neo4j-rest/src/main/java/org/springframework/data/neo4j/rest/SpringRestResult.java|RENAME_PARAMETER], [spring-data-neo4j-rest/src/main/java/org/springframework/data/neo4j/rest/SpringRestResult.java|RENAME_PARAMETER], NO_NOISE]","[as, getOrCreateNode, handle, iterator, to]"
"E:\project-DataSets20240917\spring-data-neo4j","[2e5be4671d1f80caf62663d3c9d4737466954709, 674658926029e1829dfe4e96a2008af5a877ceb6, 8db4d61957c743d049c56a94363e06038871598f, d12215f737f78381a3cc0b331a39cc007457c5d4]","[NO_NOISE, NO_NOISE, NO_NOISE, NO_NOISE]","[createResultConverter, getOrCreateNode, query, queryEngineFor]"
"E:\project-DataSets20240917\spring-data-neo4j","[3ef0cdf05ed738bd5a47cafb985e9de0f4b5cbd9, 48aeeca5b7443b1cf92f5dcc245506de0281e54a, b1b2dbf7c41d13bb47b7774d6cbd8196d5bc374f, e0dd12c818570c7e01d280d2240dbdb042802968]","[[spring-data-neo4j-rest/src/main/java/org/springframework/data/neo4j/rest/SpringHandler.java|RENAME_PARAMETER, spring-data-neo4j-rest/src/main/java/org/springframework/data/neo4j/rest/SpringRestCypherQueryEngine.java|RENAME_ATTRIBUTE, spring-data-neo4j-rest/src/main/java/org/springframework/data/neo4j/rest/SpringRestCypherQueryEngine.java|RENAME_PARAMETER, spring-data-neo4j-rest/src/main/java/org/springframework/data/neo4j/rest/SpringRestGraphDatabase.java|EXTRACT_VARIABLE, spring-data-neo4j-rest/src/main/java/org/springframework/data/neo4j/rest/SpringRestGraphDatabase.java|RENAME_PARAMETER, spring-data-neo4j-rest/src/main/java/org/springframework/data/neo4j/rest/SpringRestGremlinQueryEngine.java|INVERT_CONDITION, spring-data-neo4j-rest/src/main/java/org/springframework/data/neo4j/rest/SpringRestGremlinQueryEngine.java|RENAME_ATTRIBUTE, spring-data-neo4j-rest/src/main/java/org/springframework/data/neo4j/rest/SpringRestGremlinQueryEngine.java|RENAME_PARAMETER], [spring-data-neo4j-examples/todos/src/main/java/org/neo4j/app/todos/Todo.java|RENAME_VARIABLE], [spring-data-neo4j-examples/todos/src/main/java/org/neo4j/app/todos/Todo.java|RENAME_ATTRIBUTE], [spring-data-neo4j-examples/todos/src/main/java/org/neo4j/app/todos/Todo.java|RENAME_PARAMETER]]","[SpringRestGraphDatabase, beginTx, createNode, fromJsonToTodo, getIndex, getIsDone, getTitle, getTransactionManager, getTxManager, queryEngineFor, setIsDone, setTitle, toString]"
"E:\project-DataSets20240917\spring-data-neo4j","[00aaaf6c37bb1884becec2c346141210d4ffc02d, 157a4b5596b3c94ee308175dead4cbf2e628a768, 4f9fd5a367c1753462893a257a78f88e2f5eeb18, 9444cd93744a9882f77846d5521f7c0505e22929]","[[spring-data-neo4j-examples/todos/src/main/java/org/neo4j/app/todos/Todo.java|RENAME_ATTRIBUTE, spring-data-neo4j-examples/todos/src/main/java/org/neo4j/app/todos/Todo.java|RENAME_PARAMETER], [spring-data-neo4j-examples/todos/src/main/java/org/neo4j/app/todos/Todo.java|RENAME_ATTRIBUTE], [spring-data-neo4j-examples/todos/src/main/java/Main.java|EXTRACT_VARIABLE, spring-data-neo4j-examples/todos/src/main/java/Main.java|RENAME_VARIABLE, spring-data-neo4j-examples/todos/src/main/java/org/neo4j/app/todos/Todo.java|RENAME_ATTRIBUTE, spring-data-neo4j-examples/todos/src/main/java/org/neo4j/app/todos/Todo.java|RENAME_PARAMETER, spring-data-neo4j-examples/todos/src/main/java/org/neo4j/app/todos/Todo.java|RENAME_VARIABLE, spring-data-neo4j-examples/todos/src/main/java/org/neo4j/app/todos/TodoController.java|RENAME_ATTRIBUTE, spring-data-neo4j-examples/todos/src/main/java/org/neo4j/app/todos/TodoController.java|RENAME_PARAMETER, spring-data-neo4j-examples/todos/src/main/java/org/neo4j/app/todos/TodoController.java|RENAME_VARIABLE], [spring-data-neo4j-examples/myrestaurants-social/src/main/java/com/springone/myrestaurants/web/BaseApplicationController.java|RENAME_ATTRIBUTE, spring-data-neo4j-examples/myrestaurants-social/src/main/java/com/springone/myrestaurants/web/BaseApplicationController.java|RENAME_PARAMETER]]","[addDateTimeFormatPatterns, getCurrentUserAccount, getIsDone, getTitle, setIsDone, setTitle, toJsonArray]"
"E:\project-DataSets20240917\spring-data-neo4j","[59042a4a99ac22c4d9a83bdd5bc4bc9f3cf91bb9, 71430e59c21d414712e6f94a19afa634cdc53d0f, d3774df138e593e5a4f26db7960b587ddf290e91, ec5c0cb7cb59f3ee60d5f38bb9587720c723a60b]","[NO_NOISE, NO_NOISE, NO_NOISE, [spring-data-neo4j-examples/myrestaurants-social/src/main/java/com/springone/myrestaurants/web/BaseApplicationController.java|RENAME_PARAMETER, spring-data-neo4j-examples/myrestaurants-social/src/main/java/com/springone/myrestaurants/web/BaseApplicationController.java|RENAME_VARIABLE]]","[addDateTimeFormatPatterns, getCurrentUserAccount, populateModelWithCurrentUserAccountIdAsLong]"
"E:\project-DataSets20240917\spring-data-neo4j","[1a4a0165e48b7cffc538ce13f5a40ad006501116, 23b518e3cf853f69937ab47364a190a280b39af2, 5b55973e656b960bc8a72839fdca0ad904f6a5d2, 7ec77a7bf0ee8aa407159d669afdbaf36840ddf5]","[[spring-data-neo4j-examples/myrestaurants-social/src/main/java/com/springone/myrestaurants/web/BaseApplicationController.java|RENAME_PARAMETER, spring-data-neo4j-examples/myrestaurants-social/src/main/java/com/springone/myrestaurants/web/BaseApplicationController.java|RENAME_VARIABLE], [spring-data-neo4j-examples/myrestaurants-social/src/main/java/com/springone/myrestaurants/web/BaseApplicationController.java|RENAME_VARIABLE], NO_NOISE, NO_NOISE]","[convert, getCurrentUserAccount, getRestaurantConverter]"
"E:\project-DataSets20240917\spring-data-neo4j","[01f0a8f346e1dc288b32651105aa565f1834c434, 9164831fee2706624c0a07248942a02eba6e1839, b35f4ad8ddb967f73016c3a77438d9e62276f967, d450d2c4509eb8a263ed7cc671cf2a17702d6cae]","[NO_NOISE, NO_NOISE, [spring-data-neo4j-examples/myrestaurants-social/src/main/java/com/springone/myrestaurants/domain/Restaurant.java|RENAME_ATTRIBUTE, spring-data-neo4j-examples/myrestaurants-social/src/main/java/com/springone/myrestaurants/domain/Restaurant.java|RENAME_PARAMETER, spring-data-neo4j-examples/myrestaurants-social/src/main/java/com/springone/myrestaurants/domain/TopRatedRestaurantFinder.java|RENAME_PARAMETER, spring-data-neo4j-examples/myrestaurants-social/src/main/java/com/springone/myrestaurants/domain/TopRatedRestaurantFinder.java|RENAME_VARIABLE, spring-data-neo4j-examples/myrestaurants-social/src/main/java/com/springone/myrestaurants/web/BaseApplicationController.java|RENAME_ATTRIBUTE, spring-data-neo4j-examples/myrestaurants-social/src/main/java/com/springone/myrestaurants/web/BaseApplicationController.java|RENAME_PARAMETER, spring-data-neo4j-examples/myrestaurants-social/src/main/java/com/springone/myrestaurants/web/BaseApplicationController.java|RENAME_VARIABLE, spring-data-neo4j-examples/myrestaurants-social/src/main/java/com/springone/myrestaurants/web/FriendController.java|EXTRACT_VARIABLE, spring-data-neo4j-examples/myrestaurants-social/src/main/java/com/springone/myrestaurants/web/FriendController.java|INVERT_CONDITION], NO_NOISE]","[CalculateRatingPredicate, addDateTimeFormatPatterns, getCity, getCurrentUserAccount, getId, getName, getRestaurantConverter, getState, getTopNRatedRestaurants, getVersion, getZipCode, populateModelWithCurrentUserAccountIdAsLong, setCity, setId, setName, setState, setVersion, setZipCode, toString]"
"E:\project-DataSets20240917\spring-data-neo4j","[08c67c4149f9112e9960b7eb7d96ab17e2b0ae3e, 2d3eac4ed75e860b3f9e8ac03c07da4405a47103, b64d8217cdd63da052fe659e50651fd2e6160725, e1263ecfaf0c33ca432585c154113a26893e40ef]","[[spring-data-neo4j-examples/myrestaurants-original/src/main/java/com/springone/myrestaurants/domain/UserAccount.java|RENAME_ATTRIBUTE], NO_NOISE, NO_NOISE, NO_NOISE]","[getBirthDate, getUserName, setBirthDate, setUserName, toString]"
